,Şəhər,Qiymət,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Vəziyyəti,Hansı bazar üçün yığılıb,Sahiblər,Qəzalı
8734,Bakı,56 500 USD,Lexus,LX 570,2013,Offroader / SUV,Qara,5.7 L/383 a.g./Benzin,151 700 km,Avtomat,Tam,Xeyr,7,"Vuruğu yoxdur, rənglənməyib",Dubay,,
8735,Bakı,2 900 AZN,LADA (VAZ),21011,1980,Sedan,Yaşıl,1.5 L/65 a.g./Benzin,80 869 km,Mexaniki,Arxa,Xeyr,5,"Vuruğu yoxdur, rənglənib",Rusiya,,
8736,Sumqayıt,21 800 AZN,Honda,CR-V,2008,Offroader / SUV,Qara,2.4 L/170 a.g./Benzin,170 000 km,Avtomat,Tam,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2,
8737,Bakı,22 200 AZN,Ford,Fusion,2014,Sedan,Yaş Asfalt,2.0 L/245 a.g./Benzin,173 000 km,Avtomat,Ön,Xeyr,,"Vuruğu yoxdur, rənglənməyib",Amerika,1,
8738,Gəncə,10 500 AZN,Mercedes,C 180,2000,Sedan,Gümüşü,1.8 L/122 a.g./Benzin,265 000 km,Avtomat,Arxa,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",,,
8739,Bakı,11 500 AZN,Mercedes,E 240,1998,Sedan,Gümüşü,2.4 L/170 a.g./Benzin,331 266 km,Avtomat,Arxa,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Avropa,2,
8740,Bakı,35 200 AZN,Kia,Sportage,2017,Offroader / SUV,Ağ,1.6 L/177 a.g./Benzin,104 896 km,Avtomat,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Dubay,1,
8741,Bakı,12 500 AZN,Opel,Astra,2007,Universal,Qara,1.4 L/90 a.g./Benzin,158 000 km,Mexaniki,Ön,Xeyr,,"Vuruğu yoxdur, rənglənməyib",Avropa,2,
8742,Sumqayıt,22 800 AZN,Kia,Optima,2012,Sedan,Yaş Asfalt,2.0 L/274 a.g./Benzin,198 000 km,Avtomat,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Amerika,2,
8743,Bakı,4 800 AZN,LADA (VAZ),21099,2000,Sedan,Qızılı,1.5 L/78 a.g./Benzin,96 200 km,Mexaniki,Ön,Xeyr,4,"Vuruğu yoxdur, rənglənməyib",,1,
8745,Bakı,7 000 AZN,Ford,Mondeo,2003,Sedan,Qara,2.0 L/145 a.g./Benzin,407 000 km,Avtomat,Ön,Xeyr,,"Vuruğu yoxdur, rənglənib",,2,
8746,Bakı,15 900 AZN,Opel,Astra,2011,Universal,Qara,1.4 L/140 a.g./Benzin,249 000 km,Mexaniki,Ön,Xeyr,,"Vuruğu yoxdur, rənglənməyib",Avropa,,
8747,Bakı,7 400 AZN,LADA (VAZ),2107,2010,Sedan,Qara,1.6 L/75 a.g./Benzin,75 600 km,Mexaniki,Arxa,Xeyr,,"Vuruğu yoxdur, rənglənməyib",,0,
8749,Bakı,38 500 USD,Mitsubishi,Outlander,2022,Offroader / SUV,Ağ,2.5 L/181 a.g./Benzin,0 km,Avtomat,Tam,Bəli,7,,,,
8750,Bakı,41 800 AZN,Mercedes,E 220,2013,Sedan,Boz,2.2 L/170 a.g./Dizel,224 000 km,Avtomat,Arxa,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Koreya,1,
8760,Bakı,16 300 AZN,Chevrolet,Orlando,2011,Minivan,Ağ,1.8 L/141 a.g./Benzin,231 000 km,Avtomat,Ön,Xeyr,7,"Vuruğu yoxdur, rənglənməyib",,1,
8761,Bakı,21 500 AZN,Hyundai,Elantra,2013,Sedan,Ağ,1.6 L/132 a.g./Benzin,136 000 km,Avtomat,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Dubay,2,
8762,Bakı,12 400 AZN,BMW,320,2001,Sedan,Gümüşü,2.2 L/170 a.g./Benzin,244 000 km,Avtomat,Arxa,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",,,
8763,Biləsuvar,6 500 AZN,LADA (VAZ),2107,2006,Sedan,Ağ,1.6 L/75 a.g./Benzin,258 000 km,Mexaniki,Arxa,Xeyr,,"Vuruğu yoxdur, rənglənməyib",,2,
8764,Bakı,17 600 AZN,Ford,Fusion,2015,Sedan,Gümüşü,1.5 L/181 a.g./Benzin,138 000 km,Avtomat,Ön,Xeyr,,"Vuruğu yoxdur, rənglənməyib",,,
