,Şəhər,Qiymət,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Vəziyyəti,Hansı bazar üçün yığılıb,Sahiblər,Qəzalı
0,Bakı,33 000 AZN,Fiat,Doblo,2022,Furqon,Ağ,1.4 L/95 a.g./Benzin,0 km,Mexaniki,Ön,Bəli,2,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,,
1,Bakı,270 000 USD,Mercedes-Maybach,GLS 600 4MATIC,2022,Offroader / SUV,Qara,4.0 L/558 a.g./Benzin,3 500 km,Avtomat,Tam,Xeyr,,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,0,
2,Bakı,19 800 AZN,Nissan,Sunny,2014,Sedan,Gümüşü,1.6 L/109 a.g./Benzin,118 000 km,Avtomat,Ön,Xeyr,,"Vuruğu yoxdur, rənglənməyib",,,
3,Bakı,57 600 AZN,Toyota,RAV4,2022,Offroader / SUV,Yaş Asfalt,2.0 L/173 a.g./Benzin,0 km,Avtomat,Ön,Bəli,,"Vuruğu yoxdur, rənglənməyib",,,
4,Bakı,69 500 USD,BMW,M3,2014,Sedan,Göy,3.0 L/450 a.g./Benzin,42 000 km,Avtomat,Arxa,Xeyr,,"Vuruğu yoxdur, rənglənməyib",Avropa,1,
5,Bakı,38 500 USD,Mercedes,E 300 e,2021,Sedan,Qara,2.0 L/320 a.g./Plug-in Hibrid,30 000 km,Avtomat,Arxa,Xeyr,,"Vuruğu var, rənglənməyib",Rəsmi diler,1,Bəli
6,Bakı,27 500 AZN,BMW,525,2007,Sedan,Qara,2.5 L/218 a.g./Benzin,140 000 km,Avtomat,Arxa,Xeyr,4,"Vuruğu yoxdur, rənglənməyib",Yaponiya,,
7,Bakı,16 000 USD,Hyundai,Sonata,2015,Sedan,Qırmızı,2.0 L/156 a.g./Hibrid,103 000 km,Avtomat,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",,,
8,Bakı,35 700 AZN,Kia,Sorento,2014,Offroader / SUV,Ağ,2.0 L/184 a.g./Dizel,105 000 km,Avtomat,Ön,Xeyr,7,"Vuruğu yoxdur, rənglənməyib",Koreya,,
9,Bakı,80 000 USD,Ford,Cougar,1986,Kupe,Qırmızı,5.0 L/200 a.g./Benzin,3 900 km,Avtomat,Arxa,Xeyr,4,"Vuruğu yoxdur, rənglənməyib",Amerika,1,
10,Bakı,28 500 USD,Porsche,Cayenne S,2010,Offroader / SUV,Ağ,4.8 L/420 a.g./Benzin,102 000 km,Avtomat,Tam,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,1,
11,Bakı,10 200 AZN,Mercedes,C 220,1997,Sedan,Gümüşü,2.2 L/125 a.g./Dizel,310 000 km,Avtomat,Arxa,Xeyr,,"Vuruğu yoxdur, rənglənməyib",,,
12,Sumqayıt,14 800 AZN,Mercedes,ML 320,2001,Offroader / SUV,Gümüşü,3.2 L/218 a.g./Benzin,243 992 km,Avtomat,Tam,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Digər,,
13,Bakı,20 800 AZN,Volkswagen,Passat CC,2015,Kupe,Qara,2.0 L/210 a.g./Benzin,23 000 km,Avtomat,Ön,Xeyr,4,"Vuruğu yoxdur, rənglənməyib",Digər,1,
14,Masallı,3 200 AZN,LADA (VAZ),21099,1997,Sedan,Göy,1.5 L/70 a.g./Benzin,53 685 km,Mexaniki,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Rusiya,1,
15,Bakı,41 200 USD,BMW,X5,2015,Offroader / SUV,Göy,3.0 L/306 a.g./Benzin,122 000 km,Avtomat,Tam,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Amerika,,
16,Bakı,6 700 AZN,Iran Khodro,Samand,2009,Sedan,Gümüşü,1.8 L/100 a.g./Benzin,205 007 km,Mexaniki,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənib",,,
17,Bakı,24 000 AZN,SEAT,Leon,2014,Hetçbek,Ağ,1.8 L/180 a.g./Benzin,67 000 km,Avtomat,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",,2,
18,Bakı,64 900 USD,Mercedes,S 500,2014,Sedan,Qara,4.7 L/455 a.g./Benzin,54 000 km,Avtomat,Arxa,Xeyr,4,"Vuruğu yoxdur, rənglənməyib",,,
19,Bakı,10 700 AZN,Opel,Astra,2006,Universal,Gümüşü,1.3 L/90 a.g./Dizel,270 000 km,Mexaniki,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənib",Avropa,2,
20,Bakı,32 900 AZN,Kia,Sorento,2012,Offroader / SUV,Gümüşü,2.0 L/184 a.g./Dizel,216 000 km,Avtomat,Tam,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Koreya,2,
21,Bakı,26 300 AZN,BMW,328,2012,Sedan,Yaş Asfalt,2.0 L/245 a.g./Benzin,140 000 km,Avtomat,Arxa,Xeyr,4,"Vuruğu yoxdur, rənglənməyib",Amerika,2,
22,Bakı,15 900 AZN,Kia,Ceed,2009,Universal,Yaş Asfalt,1.4 L/109 a.g./Benzin,240 000 km,Mexaniki,Ön,Xeyr,4,"Vuruğu yoxdur, rənglənməyib",Avropa,2,
23,Bakı,15 300 AZN,Toyota,Prius,2007,Liftbek,Gümüşü,1.5 L/76 a.g./Hibrid,120 000 km,Variator,Ön,Xeyr,,"Vuruğu yoxdur, rənglənməyib",,1,
24,Bakı,45 000 USD,BMW,530,2019,Sedan,Göy,2.0 L/249 a.g./Benzin,60 000 km,Avtomat,Arxa,Xeyr,4,"Vuruğu yoxdur, rənglənməyib",Amerika,2,
25,Bakı,25 000 AZN,Nissan,Qashqai,2012,Offroader / SUV,Ağ,2.0 L/141 a.g./Benzin,170 000 km,Avtomat,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",,2,
26,Bakı,33 000 AZN,Mercedes,S 500,2007,Sedan,Qara,5.5 L/388 a.g./Benzin,180 000 km,Avtomat,Arxa,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2,
27,Bakı,33 500 USD,Kia,Sorento,2021,Offroader / SUV,Qara,2.5 L/290 a.g./Benzin,15 100 km,Avtomat,Ön,Xeyr,6,"Vuruğu yoxdur, rənglənməyib",Amerika,1,
28,Bakı,38 200 USD,BMW,530,2019,Sedan,Qara,2.0 L/249 a.g./Benzin,112 800 km,Avtomat,Tam,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",,,
29,Bakı,9 500 AZN,Kia,Rio,2006,Hetçbek,Gümüşü,1.4 L/97 a.g./Benzin,18 500 km,Mexaniki,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Avropa,2,
30,Sumqayıt,23 800 AZN,Hyundai,Santa Fe,2009,Offroader / SUV,Ağ,2.0 L/184 a.g./Dizel,178 000 km,Avtomat,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",,,
31,Bakı,4 700 AZN,LADA (VAZ),2107,1999,Sedan,Ağ,1.6 L/75 a.g./Benzin,50 000 km,Mexaniki,Arxa,Xeyr,5,"Vuruğu yoxdur, rənglənib",Rusiya,,
32,Bakı,22 000 AZN,Mazda,6,2013,Sedan,Qara,2.5 L/192 a.g./Benzin,211 161 km,Avtomat,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Avropa,2,
33,Bakı,53 000 USD,Mercedes,S 500,2014,Sedan,Qara,4.7 L/455 a.g./Benzin,115 000 km,Avtomat,Tam,Xeyr,,"Vuruğu yoxdur, rənglənməyib",,1,
34,Bakı,22 000 AZN,Mercedes,S 320,2005,Sedan,Qara,3.0 L/224 a.g./Benzin,271 000 km,Avtomat,Arxa,Xeyr,5,"Vuruğu yoxdur, rənglənib",Rəsmi diler,2,
35,Bakı,23 500 AZN,Toyota,Avensis,2012,Sedan,Ağ,2.0 L/155 a.g./Benzin,199 800 km,Avtomat,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2,
36,Bakı,39 800 AZN,Kia,Sorento,2014,Offroader / SUV,Ağ,2.0 L/184 a.g./Dizel,97 000 km,Avtomat,Ön,Xeyr,7,"Vuruğu yoxdur, rənglənib",Koreya,1,
37,Bakı,66 000 USD,Toyota,Highlander,2022,Offroader / SUV,Ağ,2.5 L/215 a.g./Hibrid,0 km,Avtomat,Tam,Bəli,7,"Vuruğu yoxdur, rənglənməyib",Dubay,1,
38,Sumqayıt,20 900 AZN,Hyundai,Sonata,2010,Sedan,Ağ,2.4 L/174 a.g./Benzin,260 000 km,Avtomat,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",,0,
39,Bakı,29 000 AZN,Mazda,CX-9,2013,Offroader / SUV,Tünd qırmızı,3.7 L/277 a.g./Benzin,141 615 km,Avtomat,Tam,Xeyr,7,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2,
40,Bakı,28 500 AZN,Hyundai,H-1,2014,Mikroavtobus,Ağ,2.5 L/170 a.g./Dizel,230 000 km,Avtomat,Tam,Xeyr,7,"Vuruğu yoxdur, rənglənməyib",,2,
41,Bakı,39 400 USD,Volkswagen,ID.6,2022,Offroader / SUV,Göy,0.0 L/204 a.g./Elektro,0 km,Avtomat,Tam,Bəli,7,"Vuruğu yoxdur, rənglənməyib",,1,
42,Bakı,21 000 USD,BMW,X5,2010,Offroader / SUV,Ağ,4.4 L/407 a.g./Benzin,270 000 km,Avtomat,Tam,Xeyr,,"Vuruğu yoxdur, rənglənməyib",Avropa,2,
43,Bakı,50 000 USD,Mercedes,ML 63 AMG,2013,Offroader / SUV,Qara,5.5 L/557 a.g./Benzin,128 000 km,Avtomat,Tam,Xeyr,,"Vuruğu yoxdur, rənglənməyib",,,
44,Bakı,40 700 USD,Volkswagen,ID.6,2022,Offroader / SUV,Göy,0.0 L/204 a.g./Elektro,0 km,Avtomat,Arxa,Bəli,7,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,1,
45,Bakı,17 250 USD,BMW,328,2014,Sedan,Qara,2.0 L/245 a.g./Benzin,147 451 km,Avtomat,Arxa,Xeyr,4,"Vuruğu var, rənglənib",Amerika,2,
46,Bakı,30 000 AZN,Mercedes,E 220,2010,Sedan,Ağ,2.2 L/170 a.g./Dizel,190 000 km,Avtomat,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Koreya,1,
47,Bakı,19 200 AZN,BMW,525,2008,Sedan,Qara,3.0 L/218 a.g./Benzin,280 000 km,Avtomat,Arxa,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Avropa,,
48,Hacıqabul,13 700 AZN,GAZ,3302-744,2008,Mikroavtobus,Ağ,2.7 L/156 a.g./Benzin,150 000 km,Mexaniki,Arxa,Xeyr,8+,"Vuruğu yoxdur, rənglənməyib",Rusiya,,
49,Bakı,9 700 AZN,Opel,Corsa,2006,Hetçbek,Boz,1.2 L/80 a.g./Benzin,168 000 km,Mexaniki,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Avropa,,
50,Ağcabədi,12 000 AZN,Mercedes,C 180,1999,Sedan,Qırmızı,1.8 L/122 a.g./Benzin,310 000 km,Avtomat,Tam,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",,,
51,Bakı,22 000 AZN,Porsche,Cayenne,2007,Offroader / SUV,Qara,4.8 L/385 a.g./Benzin,170 000 km,Avtomat,Tam,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Avropa,,
52,Bakı,24 000 AZN,Hyundai,Elantra,2017,Sedan,Qara,1.4 L/128 a.g./Benzin,144 841 km,Avtomat,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",,,
53,Bakı,33 000 AZN,Hyundai,Tucson,2016,Offroader / SUV,Gümüşü,1.6 L/177 a.g./Benzin,70 000 km,Avtomat,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Amerika,1,
54,Ağcabədi,16 400 AZN,Mercedes,E 220,2000,Sedan,Göy,2.2 L/143 a.g./Dizel,355 000 km,Avtomat,Tam,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Avropa,2,
55,Bakı,28 500 USD,BMW,430,2018,Sedan,Ağ,2.0 L/258 a.g./Benzin,99 000 km,Avtomat,Arxa,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Digər,,
56,Bakı,20 000 USD,Land Rover,Range Rover,2008,Offroader / SUV,Boz,4.2 L/396 a.g./Benzin,199 000 km,Avtomat,Tam,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2,
57,Bakı,10 700 AZN,Nissan,Sunny,2008,Sedan,Ağ,1.3 L/90 a.g./Benzin,220 000 km,Avtomat,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",,2,
58,Bakı,17 800 AZN,Ford,Transit,2008,Furqon,Ağ,2.2 L/115 a.g./Dizel,181 000 km,Mexaniki,Ön,Xeyr,3,"Vuruğu yoxdur, rənglənməyib",,1,
59,Bakı,47 500 AZN,Kia,Sorento,2018,Offroader / SUV,Ağ,2.0 L/184 a.g./Dizel,136 000 km,Avtomat,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Koreya,,
60,Bakı,9 500 AZN,Opel,Astra,2005,Universal,Gümüşü,1.7 L/75 a.g./Dizel,341 560 km,Mexaniki,Ön,Xeyr,4,"Vuruğu yoxdur, rənglənib",,2,
61,Bakı,28 500 AZN,Mercedes,Vito 115,2008,Minivan,Ağ,2.2 L/150 a.g./Dizel,241 000 km,Mexaniki,Arxa,Xeyr,8+,"Vuruğu yoxdur, rənglənməyib",Avropa,1,
62,Bakı,98 000 USD,BMW,X6,2020,Offroader / SUV,Qara,3.0 L/340 a.g./Benzin,14 000 km,Avtomat,Tam,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,1,
63,Bakı,6 500 AZN,Nissan,Pathfinder,1998,Offroader / SUV,Göy,2.7 L/131 a.g./Dizel,237 000 km,Avtomat,Arxa,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",,2,
64,Bakı,45 000 AZN,Haval,H9,2018,Offroader / SUV,Ağ,2.0 L/190 a.g./Dizel,110 442 km,Avtomat,Tam,Xeyr,7,"Vuruğu yoxdur, rənglənməyib",,1,
65,Bakı,23 500 AZN,Kia,Optima,2016,Sedan,Boz,1.6 L/178 a.g./Benzin,89 000 km,Avtomat,Ön,Xeyr,4,"Vuruğu yoxdur, rənglənməyib",Amerika,,
66,Bakı,6 600 AZN,Mercedes,E 230,1987,Sedan,Qızılı,2.3 L/150 a.g./Benzin,180 000 km,Avtomat,Arxa,Xeyr,5,"Vuruğu yoxdur, rənglənib",Digər,2,
67,Masallı,16 800 AZN,Mercedes,E 320,2002,Sedan,Qara,3.2 L/224 a.g./Benzin,384 000 km,Avtomat,Arxa,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Digər,,
68,Bakı,33 500 USD,Porsche,Cayenne GTS,2013,Offroader / SUV,Ağ,4.8 L/520 a.g./Benzin,164 000 km,Avtomat,Tam,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,,
69,Bakı,25 500 AZN,Hyundai,Elantra,2017,Sedan,Göy,2.0 L/150 a.g./Benzin,175 000 km,Avtomat,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Amerika,1,
70,Bakı,2 950 AZN,LADA (VAZ),2106,1990,Sedan,Bej,1.6 L/75 a.g./Benzin,300 000 km,Mexaniki,Arxa,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Rusiya,,
71,Bakı,15 500 AZN,Chevrolet,Aveo,2012,Sedan,Ağ,1.6 L/115 a.g./Benzin,266 616 km,Avtomat,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Amerika,1,
72,Bakı,163 000 USD,Land Rover,Defender,2022,Offroader / SUV,Qara,3.0 L/400 a.g./Benzin,0 km,Avtomat,Tam,Bəli,7,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,,
73,Bakı,130 900 USD,Land Rover,Defender,2022,Offroader / SUV,Qara,3.0 L/400 a.g./Benzin,0 km,Avtomat,Tam,Bəli,,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,,
74,Bakı,33 500 AZN,Hyundai,Santa Fe,2013,Offroader / SUV,Ağ,2.0 L/184 a.g./Dizel,182 000 km,Avtomat,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",,,
75,Bakı,22 900 AZN,Hyundai,Elantra,2013,Sedan,Ağ,1.6 L/132 a.g./Benzin,92 900 km,Avtomat,Ön,Xeyr,,"Vuruğu yoxdur, rənglənməyib",Koreya,,
76,Bakı,52 500 AZN,Renault,Premium 420,2007,Dartqı,Ağ,12 L/450 a.g./Dizel,1 500 000 km,Mexaniki,Arxa,Xeyr,,"Vuruğu yoxdur, rənglənməyib",,,
77,Bakı,30 000 USD,Volkswagen,Multivan,2013,Minivan,Boz,2.0 L/204 a.g./Benzin,80 000 km,Avtomat,Tam,Xeyr,7,"Vuruğu yoxdur, rənglənməyib",Avropa,2,
78,Bakı,37 500 USD,BMW,530,2018,Sedan,Qara,2.0 L/245 a.g./Benzin,46 000 km,Avtomat,Arxa,Xeyr,,"Vuruğu yoxdur, rənglənməyib",Amerika,,
79,Bakı,46 000 AZN,Bestune,T99,2021,Offroader / SUV,Ağ,2.0 L/225 a.g./Benzin,32 000 km,Avtomat,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,1,
80,Bakı,54 000 USD,Mercedes,GLS 450,2017,Offroader / SUV,Göy,3.0 L/367 a.g./Benzin,76 000 km,Avtomat,Tam,Xeyr,7,"Vuruğu yoxdur, rənglənməyib",Amerika,2,
81,Bakı,20 500 AZN,Hyundai,Elantra,2012,Sedan,Boz,1.8 L/150 a.g./Benzin,151 000 km,Avtomat,Ön,Xeyr,4,"Vuruğu yoxdur, rənglənməyib",Amerika,1,
82,Bakı,57 000 USD,BMW,M340,2020,Sedan,Ağ,3.0 L/387 a.g./Benzin,48 000 km,Avtomat,Arxa,Xeyr,4,"Vuruğu yoxdur, rənglənməyib",Amerika,1,
83,Bakı,8 600 AZN,Nissan,Primera,2006,Sedan,Yaşıl,1.8 L/116 a.g./Benzin,205 000 km,Avtomat,Ön,Xeyr,,"Vuruğu yoxdur, rənglənməyib",,2,
84,Xırdalan,22 500 AZN,Mitsubishi,L200,2008,Pikap,Yaşıl,2.5 L/136 a.g./Dizel,231 000 km,Mexaniki,Tam,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Yaponiya,2,
85,Bakı,29 000 USD,Mercedes,ML 350,2012,Offroader / SUV,Ağ,3.5 L/306 a.g./Benzin,160 000 km,Avtomat,Tam,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",,,
86,Bakı,12 700 AZN,Opel,Astra,2008,Universal,Ağ,1.3 L/90 a.g./Dizel,382 000 km,Mexaniki,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",,,
87,Bakı,31 000 AZN,Mercedes,Vito 111,2014,Van,Gümüşü,2.2 L/114 a.g./Dizel,225 000 km,Avtomat,Arxa,Xeyr,7,"Vuruğu yoxdur, rənglənməyib",,,
88,Bakı,12 400 AZN,Mercedes,B 170,2006,Hetçbek,Qırmızı,1.7 L/116 a.g./Benzin,122 000 km,Avtomat,Ön,Xeyr,4,"Vuruğu yoxdur, rənglənməyib",Avropa,,
89,Bakı,10 800 AZN,Daewoo,Gentra,2013,Sedan,Ağ,1.5 L/107 a.g./Benzin,168 000 km,Mexaniki,Ön,Xeyr,,"Vuruğu yoxdur, rənglənməyib",,2,
90,Bakı,75 000 AZN,KamAz,55111,2006,Yük maşını,Boz,11 L/191 a.g./Dizel,254 122 km,Mexaniki,Arxa,Xeyr,,"Vuruğu yoxdur, rənglənməyib",,,
91,Bakı,15 000 AZN,Toyota,Corolla,2005,Universal,Gümüşü,1.4 L/90 a.g./Dizel,140 000 km,Robotlaşdırılmış,Ön,Xeyr,,"Vuruğu yoxdur, rənglənməyib",Avropa,,
92,Bakı,27 800 AZN,Hyundai,Sonata,2015,Sedan,Ağ,2.0 L/274 a.g./Benzin,177 028 km,Avtomat,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənib",Amerika,1,
93,Bakı,25 000 USD,Chevrolet,Equinox,2020,Offroader / SUV,Qəhvəyi,2.0 L/252 a.g./Benzin,45 000 km,Avtomat,Tam,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Amerika,1,
94,Bakı,34 500 USD,Porsche,Cayenne GTS,2013,Offroader / SUV,Qara,4.8 L/420 a.g./Benzin,154 000 km,Avtomat,Tam,Xeyr,,"Vuruğu yoxdur, rənglənməyib",Avropa,,
95,Lənkəran,11 300 AZN,Mercedes,C 180,1998,Sedan,Göy,1.8 L/122 a.g./Benzin,343 221 km,Avtomat,Arxa,Xeyr,4,"Vuruğu yoxdur, rənglənib",Digər,2,
96,Bakı,37 000 AZN,Mercedes,E 350,2013,Sedan,Qara,3.5 L/306 a.g./Benzin,290 000 km,Avtomat,Arxa,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",,,
97,Bakı,5 500 AZN,Chery,Amulet (A15),2010,Sedan,Qara,1.6 L/94 a.g./Benzin,242 000 km,Mexaniki,Ön,Xeyr,4,"Vuruğu yoxdur, rənglənməyib",Koreya,,
98,Bakı,20 000 AZN,LADA (VAZ),Niva,2022,Offroader / SUV,Qəhvəyi,1.7 L/80 a.g./Benzin,5 900 km,Mexaniki,Tam,Xeyr,,"Vuruğu yoxdur, rənglənməyib",,1,
99,Bakı,37 500 AZN,Mitsubishi,L200,2017,Pikap,Boz,2.4 L/154 a.g./Dizel,140 000 km,Mexaniki,Tam,Xeyr,4,"Vuruğu yoxdur, rənglənib",,1,
100,Bakı,4 200 AZN,LADA (VAZ),2107,2000,Sedan,Tünd qırmızı,1.5 L/65 a.g./Benzin,199 400 km,Mexaniki,Arxa,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",,,
101,Bakı,5 200 AZN,Toyota,Prius,2008,Liftbek,Boz,1.5 L/76 a.g./Hibrid,894 079 km,Avtomat,Ön,Xeyr,,"Vuruğu var, rənglənməyib",Amerika,1,Bəli
102,Bakı,42 000 AZN,Mercedes,Vito,2015,Van,Ağ,2.2 L/163 a.g./Dizel,390 000 km,Mexaniki,Arxa,Xeyr,7,"Vuruğu yoxdur, rənglənib",Avropa,2,
103,Bakı,42 500 USD,Lexus,RX 300,2018,Offroader / SUV,Qara,2.0 L/238 a.g./Benzin,95 000 km,Avtomat,Tam,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Avropa,1,
104,Salyan,12 950 AZN,Renault,Megane,2009,Universal,Ağ,1.5 L/105 a.g./Dizel,190 000 km,Mexaniki,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Avropa,2,
105,Bakı,39 900 AZN,Geely,Coolray,2023,Offroader / SUV,Qızılı,1.5 L/177 a.g./Benzin,0 km,Avtomat,Ön,Bəli,,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,,
106,Bakı,39 900 AZN,Geely,Coolray,2023,Offroader / SUV,Mavi,1.5 L/177 a.g./Benzin,0 km,Avtomat,Ön,Bəli,,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,,
107,Bakı,28 800 AZN,Infiniti,FX35,2008,Offroader / SUV,Ağ,3.5 L/303 a.g./Benzin,264 000 km,Avtomat,Tam,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Amerika,,
108,Bakı,145 000 USD,Porsche,911 Carrera 4S,2019,Kupe,Göy,3.0 L/450 a.g./Benzin,10 500 km,Avtomat,Arxa,Xeyr,,"Vuruğu yoxdur, rənglənməyib",,,
109,Bakı,64 500 EUR,Audi,Q7,2022,Offroader / SUV,Qara,2.0 L/252 a.g./Benzin,0 km,Avtomat,Tam,Bəli,,"Vuruğu yoxdur, rənglənməyib",,,
110,Bakı,39 000 AZN,GAZ,Next A21R22-30,2023,Yük maşını,Ağ,2.8 L/150 a.g./Dizel,0 km,Mexaniki,Arxa,Bəli,,"Vuruğu yoxdur, rənglənməyib",,,
111,Bakı,33 600 USD,Mitsubishi,L200,2022,Pikap,Ağ,2.5 L/137 a.g./Dizel,0 km,Mexaniki,Tam,Bəli,5,"Vuruğu yoxdur, rənglənməyib",Dubay,1,
112,Bakı,14 900 AZN,Nissan,Qashqai,2008,Offroader / SUV,Qırmızı,2.0 L/140 a.g./Benzin,225 000 km,Avtomat,Ön,Xeyr,,"Vuruğu yoxdur, rənglənib",Avropa,2,
114,Bakı,17 900 AZN,Suzuki,Intruder,2014,Motosiklet,Ağ,0.8 L/53 a.g./Benzin,30 000 km,Mexaniki,Arxa,Xeyr,2,"Vuruğu yoxdur, rənglənməyib",,2,
115,Bakı,17 600 USD,BMW,X6,2009,Offroader / SUV,Qara,4.4 L/407 a.g./Benzin,165 000 km,Avtomat,Tam,Xeyr,,,,,
116,Zaqatala,14 000 AZN,Mercedes,C 230,1999,Sedan,Qızılı,2.3 L/193 a.g./Benzin,312 414 km,Avtomat,Arxa,Xeyr,,"Vuruğu yoxdur, rənglənməyib",Amerika,2,
117,Bakı,25 000 AZN,Fiat,Doblo,2019,Furqon,Ağ,1.4 L/95 a.g./Benzin,121 200 km,Mexaniki,Ön,Xeyr,,"Vuruğu yoxdur, rənglənməyib",Avropa,1,
118,Bakı,25 300 USD,BMW,330,2016,Sedan,Ağ,2.0 L/252 a.g./Benzin,89 000 km,Avtomat,Arxa,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Amerika,,
119,Bakı,35 000 USD,Jeep,Wrangler,2013,Offroader / SUV,Ağ,3.6 L/284 a.g./Benzin,39 000 km,Avtomat,Tam,Xeyr,4,"Vuruğu yoxdur, rənglənməyib",Amerika,2,
120,Bakı,43 000 AZN,Haval,H9,2018,Offroader / SUV,Yaşıl,2.0 L/218 a.g./Benzin,76 700 km,Avtomat,Tam,Xeyr,7,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2,
121,Bakı,18 500 AZN,BMW,530,2005,Sedan,Ağ,3.0 L/258 a.g./Benzin,350 800 km,Avtomat,Arxa,Xeyr,,"Vuruğu yoxdur, rənglənməyib",Avropa,2,
122,Bakı,26 500 AZN,Hyundai,Genesis Coupe,2012,Kupe,Ağ,2.0 L/260 a.g./Benzin,92 000 km,Avtomat,Arxa,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",,3,
123,Bakı,15 500 AZN,Mitsubishi,Pajero,1994,Offroader / SUV,Qırmızı,3.2 L/231 a.g./Dizel,268 000 km,Mexaniki,Tam,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Avropa,0,
124,Bakı,37 900 AZN,Kia,Sorento,2014,Offroader / SUV,Boz,2.0 L/184 a.g./Dizel,187 000 km,Avtomat,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Koreya,2,
125,Bakı,43 000 USD,BMW,X5,2015,Offroader / SUV,Ağ,3.0 L/306 a.g./Benzin,143 500 km,Avtomat,Tam,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Amerika,,
126,Sumqayıt,19 400 AZN,Honda,CR-V,2008,Offroader / SUV,Qara,2.4 L/170 a.g./Benzin,295 000 km,Avtomat,Tam,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,3,
127,Şirvan,30 600 USD,Land Rover,Range Rover,2011,Offroader / SUV,Ağ,5.0 L/510 a.g./Benzin,147 000 km,Avtomat,Tam,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",,1,
